Tipo de dato;Agregados macroeconómicos;Niveles y tasas;Periodo;Total
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T3;253.409
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T2;249.021
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2006T1;243.627
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T4;239.206
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T3;233.904
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T2;229.433
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2005T1;224.814
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T4;221.355
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T3;216.525
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T2;212.367
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2004T1;209.190
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T4;205.584
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T3;202.014
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T2;199.288
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2003T1;195.380
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T4;191.698
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T3;188.931
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T2;186.170
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2002T1;182.753
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T4;180.040
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T3;176.927
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T2;173.291
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2001T1;170.735
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T4;166.992
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T3;163.227
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T2;160.232
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;2000T1;157.400
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T4;153.809
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T3;149.860
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T2;147.105
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1999T1;144.949
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T4;143.999
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T3;139.892
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T2;137.644
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1998T1;134.458
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T4;134.821
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T3;130.564
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T2;127.719
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1997T1;126.164
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T4;124.949
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T3;123.582
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T2;121.212
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1996T1;119.460
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T4;117.799
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T3;115.628
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T2;114.401
Datos ajustados de estacionalidad y calendario;Producto interior bruto a precios de mercado;Dato base;1995T1;112.760
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2020T3;52.176
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2020T2;37.168
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2020T1;59.226
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2019T4;67.720
Datos ajustados de estacionalidad y calendario;VABpb Servicios. Comercio, transporte y hostelería (G-I, CNAE 2009);Dato base;2019T3;66.475
